class,filename,has_ruler_gt,attribution
MEL,ISIC_0034343.jpg,False,0.000387
MEL,ISIC_0034376.jpg,False,0.000002
MEL,ISIC_0034381.jpg,False,0.000034
MEL,ISIC_0034382.jpg,False,0.000068
MEL,ISIC_0034394.jpg,False,0.000093
MEL,ISIC_0034398.jpg,False,0.000071
MEL,ISIC_0034438.jpg,False,0.000007
MEL,ISIC_0034446.jpg,False,0.000086
MEL,ISIC_0034457.jpg,False,0.000058
MEL,ISIC_0034459.jpg,False,0.000118
MEL,ISIC_0034487.jpg,False,0.000037
MEL,ISIC_0034492.jpg,False,0.000000
MEL,ISIC_0034494.jpg,False,0.000049
MEL,ISIC_0034497.jpg,False,0.000011
MEL,ISIC_0034504.jpg,False,0.000020
MEL,ISIC_0034529.jpg,False,0.000029
MEL,ISIC_0034572.jpg,False,0.000016
MEL,ISIC_0034584.jpg,False,0.000085
MEL,ISIC_0034628.jpg,False,0.000025
MEL,ISIC_0034630.jpg,False,0.000148
MEL,ISIC_0034633.jpg,False,0.000076
MEL,ISIC_0034638.jpg,False,0.000112
MEL,ISIC_0034644.jpg,False,0.000938
MEL,ISIC_0034713.jpg,False,0.000061
MEL,ISIC_0034737.jpg,False,0.000085
MEL,ISIC_0034784.jpg,False,0.000092
MEL,ISIC_0034804.jpg,False,0.000094
MEL,ISIC_0034817.jpg,False,0.000034
MEL,ISIC_0034819.jpg,False,0.000049
MEL,ISIC_0034859.jpg,False,0.000076
MEL,ISIC_0034871.jpg,False,0.000067
MEL,ISIC_0034874.jpg,False,0.000428
MEL,ISIC_0034875.jpg,False,0.000149
MEL,ISIC_0034882.jpg,False,0.000116
MEL,ISIC_0034895.jpg,False,0.000079
MEL,ISIC_0034904.jpg,False,0.000127
MEL,ISIC_0034918.jpg,False,0.000070
MEL,ISIC_0034957.jpg,False,0.000056
MEL,ISIC_0034958.jpg,False,0.000089
MEL,ISIC_0034971.jpg,False,0.000093
MEL,ISIC_0035000.jpg,False,0.000176
MEL,ISIC_0035021.jpg,False,0.000037
MEL,ISIC_0035047.jpg,False,0.000045
MEL,ISIC_0035048.jpg,False,0.000066
MEL,ISIC_0035070.jpg,False,0.000152
MEL,ISIC_0035081.jpg,False,0.000179
MEL,ISIC_0035090.jpg,False,0.000063
MEL,ISIC_0035099.jpg,False,0.000000
MEL,ISIC_0035124.jpg,False,0.000107
MEL,ISIC_0035177.jpg,False,0.000049
MEL,ISIC_0035196.jpg,False,0.000051
MEL,ISIC_0035207.jpg,False,0.000072
MEL,ISIC_0035216.jpg,False,0.000275
MEL,ISIC_0035232.jpg,False,0.000082
MEL,ISIC_0035240.jpg,False,0.000044
MEL,ISIC_0035248.jpg,False,0.000040
MEL,ISIC_0035280.jpg,False,0.000056
MEL,ISIC_0035306.jpg,False,0.000084
MEL,ISIC_0035313.jpg,False,0.000137
MEL,ISIC_0035326.jpg,False,0.000021
MEL,ISIC_0035351.jpg,False,0.000034
MEL,ISIC_0035362.jpg,False,0.000118
MEL,ISIC_0035366.jpg,False,0.000051
MEL,ISIC_0035393.jpg,False,0.001694
MEL,ISIC_0035397.jpg,False,0.000108
MEL,ISIC_0035420.jpg,False,0.000035
MEL,ISIC_0035430.jpg,False,0.000101
MEL,ISIC_0035434.jpg,False,0.000042
MEL,ISIC_0035459.jpg,False,0.000056
MEL,ISIC_0035460.jpg,False,0.000027
MEL,ISIC_0035462.jpg,False,0.000072
MEL,ISIC_0035478.jpg,False,0.000874
MEL,ISIC_0035486.jpg,False,0.000065
MEL,ISIC_0035505.jpg,False,0.000042
MEL,ISIC_0035510.jpg,False,0.000068
MEL,ISIC_0035522.jpg,False,0.000025
MEL,ISIC_0035550.jpg,False,0.000057
MEL,ISIC_0035561.jpg,False,0.000038
MEL,ISIC_0035562.jpg,False,0.000087
MEL,ISIC_0035602.jpg,False,0.000121
MEL,ISIC_0035605.jpg,False,0.000045
MEL,ISIC_0035610.jpg,False,0.000108
MEL,ISIC_0035629.jpg,False,0.000130
MEL,ISIC_0035636.jpg,False,0.000157
MEL,ISIC_0035637.jpg,False,0.000084
MEL,ISIC_0035640.jpg,False,0.000102
MEL,ISIC_0035651.jpg,False,0.000090
MEL,ISIC_0035663.jpg,False,0.000056
MEL,ISIC_0035670.jpg,False,0.000097
MEL,ISIC_0035680.jpg,False,0.000000
MEL,ISIC_0035682.jpg,False,0.000081
MEL,ISIC_0035690.jpg,False,0.000059
MEL,ISIC_0035696.jpg,False,0.000063
MEL,ISIC_0035698.jpg,False,0.000031
MEL,ISIC_0035700.jpg,False,0.000152
MEL,ISIC_0035705.jpg,False,0.000049
MEL,ISIC_0035708.jpg,False,0.000041
MEL,ISIC_0035711.jpg,False,0.000066
MEL,ISIC_0035714.jpg,False,0.000126
MEL,ISIC_0035719.jpg,False,0.000113
MEL,ISIC_0035721.jpg,False,0.000048
MEL,ISIC_0035732.jpg,False,0.000063
MEL,ISIC_0035747.jpg,False,0.000162
MEL,ISIC_0035748.jpg,False,0.000002
MEL,ISIC_0035766.jpg,False,0.000008
MEL,ISIC_0035767.jpg,False,0.000085
MEL,ISIC_0035789.jpg,False,0.000070
MEL,ISIC_0035794.jpg,False,0.000000
MEL,ISIC_0035816.jpg,False,0.000272
MEL,ISIC_0035823.jpg,False,0.000045
MEL,ISIC_0035825.jpg,False,0.000059
MEL,ISIC_0035826.jpg,False,0.000087
MEL,ISIC_0035845.jpg,False,0.000069
MEL,ISIC_0035846.jpg,False,0.000000
MEL,ISIC_0035853.jpg,False,0.000080
MEL,ISIC_0035854.jpg,False,0.000150
MEL,ISIC_0035868.jpg,False,0.000004
MEL,ISIC_0035877.jpg,False,0.000089
MEL,ISIC_0035887.jpg,False,0.000000
MEL,ISIC_0035888.jpg,False,0.000055
MEL,ISIC_0035889.jpg,False,0.000091
MEL,ISIC_0035894.jpg,False,0.000032
MEL,ISIC_0035900.jpg,False,0.000128
MEL,ISIC_0035911.jpg,False,0.000144
MEL,ISIC_0035913.jpg,False,0.000014
MEL,ISIC_0035914.jpg,False,0.000059
MEL,ISIC_0035922.jpg,False,0.000031
MEL,ISIC_0035923.jpg,False,0.000157
MEL,ISIC_0035929.jpg,False,0.004515
MEL,ISIC_0035938.jpg,False,0.000000
MEL,ISIC_0035956.jpg,False,0.000036
MEL,ISIC_0035964.jpg,False,0.000072
MEL,ISIC_0035968.jpg,False,0.000044
MEL,ISIC_0035986.jpg,False,0.000033
MEL,ISIC_0035992.jpg,False,0.000086
MEL,ISIC_0036005.jpg,False,0.000641
MEL,ISIC_0036012.jpg,False,0.000127
MEL,ISIC_0036051.jpg,False,0.000055
MEL,ISIC_0036057.jpg,False,0.000045
MEL,ISIC_0053460.jpg,False,0.000210
MEL,ISIC_0053481.jpg,False,0.000508
MEL,ISIC_0053489.jpg,False,0.000188
MEL,ISIC_0053495.jpg,False,0.000128
MEL,ISIC_0053512.jpg,False,0.000373
MEL,ISIC_0053518.jpg,False,0.000000
MEL,ISIC_0034329.jpg,True,0.004128
MEL,ISIC_0034354.jpg,True,0.000441
MEL,ISIC_0034386.jpg,True,0.000041
MEL,ISIC_0034472.jpg,True,0.000290
MEL,ISIC_0034477.jpg,True,0.000015
MEL,ISIC_0034482.jpg,True,0.000024
MEL,ISIC_0034548.jpg,True,0.000075
MEL,ISIC_0034573.jpg,True,0.000068
MEL,ISIC_0034595.jpg,True,0.000058
MEL,ISIC_0034605.jpg,True,0.000010
MEL,ISIC_0034650.jpg,True,0.003477
MEL,ISIC_0034655.jpg,True,0.000023
MEL,ISIC_0034657.jpg,True,0.000032
MEL,ISIC_0034687.jpg,True,0.005210
MEL,ISIC_0034714.jpg,True,0.000654
MEL,ISIC_0034764.jpg,True,0.000015
MEL,ISIC_0034771.jpg,True,0.000069
MEL,ISIC_0034863.jpg,True,0.000203
MEL,ISIC_0034873.jpg,True,0.000404
MEL,ISIC_0034926.jpg,True,0.000006
