class,filename,attribution
MEL,ISIC_0034329.jpg,0.004128
MEL,ISIC_0034343.jpg,0.000387
MEL,ISIC_0034354.jpg,0.000441
MEL,ISIC_0034376.jpg,0.000002
MEL,ISIC_0034381.jpg,0.000034
MEL,ISIC_0034382.jpg,0.000068
MEL,ISIC_0034386.jpg,0.000041
MEL,ISIC_0034394.jpg,0.000093
MEL,ISIC_0034398.jpg,0.000071
MEL,ISIC_0034438.jpg,0.000007
MEL,ISIC_0034446.jpg,0.000086
MEL,ISIC_0034457.jpg,0.000058
MEL,ISIC_0034459.jpg,0.000118
MEL,ISIC_0034472.jpg,0.000290
MEL,ISIC_0034477.jpg,0.000015
MEL,ISIC_0034482.jpg,0.000024
MEL,ISIC_0034487.jpg,0.000037
MEL,ISIC_0034492.jpg,0.000000
MEL,ISIC_0034494.jpg,0.000049
MEL,ISIC_0034497.jpg,0.000011
MEL,ISIC_0034504.jpg,0.000020
MEL,ISIC_0034529.jpg,0.000029
MEL,ISIC_0034548.jpg,0.000075
MEL,ISIC_0034572.jpg,0.000016
MEL,ISIC_0034573.jpg,0.000068
NV,ISIC_0034321.jpg,0.002969
NV,ISIC_0034322.jpg,0.000222
NV,ISIC_0034324.jpg,0.000081
NV,ISIC_0034325.jpg,0.000053
NV,ISIC_0034328.jpg,0.000031
NV,ISIC_0034330.jpg,0.000045
NV,ISIC_0034331.jpg,0.000031
NV,ISIC_0034335.jpg,0.000049
NV,ISIC_0034336.jpg,0.000051
NV,ISIC_0034337.jpg,0.000028
NV,ISIC_0034339.jpg,0.000668
NV,ISIC_0034340.jpg,0.000006
NV,ISIC_0034341.jpg,0.000103
NV,ISIC_0034342.jpg,0.000033
NV,ISIC_0034347.jpg,0.000039
NV,ISIC_0034348.jpg,0.000045
NV,ISIC_0034349.jpg,0.000070
NV,ISIC_0034350.jpg,0.000093
NV,ISIC_0034351.jpg,0.000101
NV,ISIC_0034352.jpg,0.000038
NV,ISIC_0034355.jpg,0.000140
NV,ISIC_0034356.jpg,0.000095
NV,ISIC_0034357.jpg,0.000034
NV,ISIC_0034359.jpg,0.000011
NV,ISIC_0034363.jpg,0.000054
