class,filename,attribution
MEL,ISIC_0034329.jpg,0.003556
MEL,ISIC_0034343.jpg,0.003711
MEL,ISIC_0034354.jpg,0.001196
MEL,ISIC_0034376.jpg,0.000000
MEL,ISIC_0034381.jpg,0.000000
MEL,ISIC_0034382.jpg,0.000000
MEL,ISIC_0034386.jpg,0.010598
MEL,ISIC_0034394.jpg,0.000383
MEL,ISIC_0034398.jpg,0.000133
MEL,ISIC_0034438.jpg,0.001498
MEL,ISIC_0034446.jpg,0.000000
MEL,ISIC_0034457.jpg,0.003017
MEL,ISIC_0034459.jpg,0.002315
MEL,ISIC_0034472.jpg,0.006806
MEL,ISIC_0034477.jpg,0.018492
MEL,ISIC_0034482.jpg,0.002706
MEL,ISIC_0034487.jpg,0.000900
MEL,ISIC_0034492.jpg,0.001516
MEL,ISIC_0034494.jpg,0.000863
MEL,ISIC_0034497.jpg,0.002571
MEL,ISIC_0034504.jpg,0.000741
MEL,ISIC_0034529.jpg,0.000748
MEL,ISIC_0034548.jpg,0.001940
MEL,ISIC_0034572.jpg,0.004137
MEL,ISIC_0034573.jpg,0.005917
NV,ISIC_0034321.jpg,0.009475
NV,ISIC_0034322.jpg,0.000000
NV,ISIC_0034324.jpg,0.001105
NV,ISIC_0034325.jpg,0.001122
NV,ISIC_0034328.jpg,0.000039
NV,ISIC_0034330.jpg,0.000063
NV,ISIC_0034331.jpg,0.000000
NV,ISIC_0034335.jpg,0.000166
NV,ISIC_0034336.jpg,0.000044
NV,ISIC_0034337.jpg,0.000054
NV,ISIC_0034339.jpg,0.000000
NV,ISIC_0034340.jpg,0.002296
NV,ISIC_0034341.jpg,0.018931
NV,ISIC_0034342.jpg,0.000000
NV,ISIC_0034347.jpg,0.002515
NV,ISIC_0034348.jpg,0.000225
NV,ISIC_0034349.jpg,0.000000
NV,ISIC_0034350.jpg,0.000000
NV,ISIC_0034351.jpg,0.000310
NV,ISIC_0034352.jpg,0.000159
NV,ISIC_0034355.jpg,0.000289
NV,ISIC_0034356.jpg,0.001625
NV,ISIC_0034357.jpg,0.000103
NV,ISIC_0034359.jpg,0.000000
NV,ISIC_0034363.jpg,0.000768
